epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.017,0.99616,0.94319,1.20634,0.85053,0.78477,0.87514,0.63709,0.95395,0.75903,1.14716,0.000666436,0.000666436,0.000666436
2,709.582,1.02304,0.85042,1.22513,0.85121,0.80689,0.88764,0.65963,0.9003,0.70744,1.12285,0.00128287,0.00128287,0.00128287
3,1070.18,0.99185,0.81344,1.20801,0.85679,0.81274,0.89824,0.67989,0.85112,0.66822,1.09598,0.00170984,0.00170984,0.00170984
4,1419.01,0.95844,0.78253,1.18872,0.8506,0.82102,0.90128,0.69248,0.82524,0.64701,1.07482,0.00138886,0.00138886,0.00138886
5,1768.28,0.92164,0.74947,1.16737,0.86288,0.82448,0.90707,0.70418,0.79965,0.61594,1.06317,0.00101,0.00101,0.00101
6,2120.78,0.89195,0.72088,1.15134,0.86859,0.83137,0.91297,0.71335,0.78304,0.5931,1.04969,0.000631143,0.000631143,0.000631143
7,2469.64,0.87087,0.69735,1.13803,0.86598,0.83179,0.91355,0.71894,0.77128,0.58353,1.03947,0.000309964,0.000309964,0.000309964
8,2818.2,0.85546,0.68044,1.1288,0.86508,0.8363,0.91445,0.72192,0.76588,0.57577,1.03728,9.53593e-05,9.53593e-05,9.53593e-05
