epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,397.231,1.15954,1.02381,1.22412,0.79753,0.70596,0.79562,0.54803,1.06442,0.80511,1.12572,0.000666436,0.000666436,0.000666436
2,822.383,1.18415,0.95457,1.24205,0.81421,0.71112,0.80397,0.56093,1.02392,0.76043,1.10125,0.00128287,0.00128287,0.00128287
3,1233.64,1.154,0.92264,1.22323,0.8133,0.73172,0.81755,0.57932,0.98409,0.72899,1.08141,0.00170984,0.00170984,0.00170984
4,1671.05,1.11833,0.88581,1.20299,0.83015,0.72791,0.82372,0.59089,0.95382,0.70245,1.06763,0.00138886,0.00138886,0.00138886
5,2071.34,1.0804,0.85088,1.18118,0.82622,0.73792,0.8292,0.59972,0.93341,0.68044,1.04844,0.00101,0.00101,0.00101
6,2474.36,1.05978,0.83013,1.16827,0.83,0.74386,0.83378,0.60877,0.91498,0.65822,1.03592,0.000631143,0.000631143,0.000631143
7,2883.12,1.03597,0.80591,1.15227,0.83255,0.74587,0.83583,0.61348,0.9052,0.65021,1.02654,0.000309964,0.000309964,0.000309964
8,3277.7,1.01962,0.79155,1.14343,0.83373,0.74919,0.83902,0.61628,0.89818,0.64384,1.02301,9.53593e-05,9.53593e-05,9.53593e-05
